_Id,_PostId,_VoteTypeId,_CreationDate
111,32,6,2012-02-17T00:00:00.000
112,32,15,2012-02-17T00:00:00.000
114,32,6,2012-02-18T00:00:00.000
116,32,15,2012-02-19T00:00:00.000
117,32,6,2012-02-19T00:00:00.000
40374,32,3,2021-05-22T00:00:00.000
122,33,2,2012-02-20T00:00:00.000
198,33,2,2012-02-23T00:00:00.000
134,34,3,2012-02-20T00:00:00.000
257,34,2,2012-02-28T00:00:00.000
12804,34,2,2015-02-25T00:00:00.000
141,35,2,2012-02-21T00:00:00.000
154,35,2,2012-02-22T00:00:00.000
155,35,1,2012-02-22T00:00:00.000
137,36,2,2012-02-21T00:00:00.000
139,36,2,2012-02-21T00:00:00.000
147,36,2,2012-02-21T00:00:00.000
179,36,2,2012-02-22T00:00:00.000
299,36,2,2012-03-07T00:00:00.000
21204,36,2,2016-06-26T00:00:00.000
22961,36,2,2016-11-03T00:00:00.000
148,37,15,2012-02-21T00:00:00.000
151,37,2,2012-02-22T00:00:00.000
153,37,2,2012-02-22T00:00:00.000
201,37,2,2012-02-23T00:00:00.000
220,37,15,2012-02-26T00:00:00.000
742,37,2,2012-07-27T00:00:00.000
142,38,2,2012-02-21T00:00:00.000
149,38,2,2012-02-21T00:00:00.000
152,38,2,2012-02-22T00:00:00.000
202,38,2,2012-02-23T00:00:00.000
244,38,1,2012-02-27T00:00:00.000
743,38,2,2012-07-27T00:00:00.000
157,39,2,2012-02-22T00:00:00.000
161,39,2,2012-02-22T00:00:00.000
163,39,2,2012-02-22T00:00:00.000
181,39,2,2012-02-22T00:00:00.000
297,39,2,2012-03-07T00:00:00.000
182,40,2,2012-02-22T00:00:00.000
298,41,2,2012-03-07T00:00:00.000
160,42,2,2012-02-22T00:00:00.000
164,42,2,2012-02-22T00:00:00.000
186,42,2,2012-02-22T00:00:00.000
207,42,2,2012-02-23T00:00:00.000
296,42,2,2012-03-07T00:00:00.000
169,43,2,2012-02-22T00:00:00.000
180,43,2,2012-02-22T00:00:00.000
187,43,2,2012-02-22T00:00:00.000
336,43,2,2012-03-08T00:00:00.000
166,44,3,2012-02-22T00:00:00.000
167,44,3,2012-02-22T00:00:00.000
170,44,2,2012-02-22T00:00:00.000
178,44,15,2012-02-22T00:00:00.000
219,44,15,2012-02-26T00:00:00.000
294,44,3,2012-03-07T00:00:00.000
470,44,3,2012-05-08T00:00:00.000
171,45,2,2012-02-22T00:00:00.000
292,45,2,2012-03-07T00:00:00.000
4261,45,2,2014-01-09T00:00:00.000
10736,45,2,2014-12-29T00:00:00.000
11888,45,2,2015-01-07T00:00:00.000
46700,45,3,2023-07-19T00:00:00.000
173,46,2,2012-02-22T00:00:00.000
195,46,3,2012-02-23T00:00:00.000
174,47,2,2012-02-22T00:00:00.000
197,47,2,2012-02-23T00:00:00.000
243,47,1,2012-02-27T00:00:00.000
293,47,2,2012-03-07T00:00:00.000
3478,47,2,2013-07-26T00:00:00.000
3662,47,2,2013-09-02T00:00:00.000
4262,47,2,2014-01-09T00:00:00.000
4943,47,2,2014-03-27T00:00:00.000
6145,47,2,2014-05-27T00:00:00.000
10850,47,2,2015-01-05T00:00:00.000
11889,47,2,2015-01-07T00:00:00.000
177,48,2,2012-02-22T00:00:00.000
3313,48,2,2013-06-18T00:00:00.000
193,49,2,2012-02-23T00:00:00.000
3758,49,2,2013-09-23T00:00:00.000
11950,49,2,2015-01-09T00:00:00.000
210,50,2,2012-02-23T00:00:00.000
5867,50,2,2014-05-14T00:00:00.000
36552,50,2,2020-07-01T00:00:00.000
200,51,2,2012-02-23T00:00:00.000
203,51,2,2012-02-23T00:00:00.000
234,51,15,2012-02-27T00:00:00.000
199,52,2,2012-02-23T00:00:00.000
204,52,2,2012-02-23T00:00:00.000
240,52,1,2012-02-27T00:00:00.000
205,53,3,2012-02-23T00:00:00.000
206,54,2,2012-02-23T00:00:00.000
211,54,2,2012-02-24T00:00:00.000
26580,54,2,2017-12-21T00:00:00.000
213,55,2,2012-02-24T00:00:00.000
214,55,2,2012-02-24T00:00:00.000
216,55,3,2012-02-25T00:00:00.000
666,55,2,2012-07-04T00:00:00.000
27221,55,2,2018-02-01T00:00:00.000
215,56,2,2012-02-24T00:00:00.000
667,56,2,2012-07-04T00:00:00.000
221,58,2,2012-02-26T00:00:00.000
3571,58,2,2013-08-10T00:00:00.000
3997,58,2,2013-11-12T00:00:00.000
12886,58,2,2015-03-04T00:00:00.000
23850,58,2,2016-12-21T00:00:00.000
225,59,2,2012-02-27T00:00:00.000
233,59,2,2012-02-27T00:00:00.000
259,59,2,2012-02-28T00:00:00.000
272,59,2,2012-03-04T00:00:00.000
896,59,2,2012-09-26T00:00:00.000
228,60,2,2012-02-27T00:00:00.000
235,60,2,2012-02-27T00:00:00.000
256,60,2,2012-02-27T00:00:00.000
271,60,2,2012-03-04T00:00:00.000
339,60,2,2012-03-08T00:00:00.000
