_Id,_UserId,_Name,_Date,_Class,_TagBased
7446,11340,Autobiographer,2015-01-03T19:34:13.127,3,False
7447,26850,Autobiographer,2015-01-03T20:06:47.240,3,False
7452,27357,Autobiographer,2015-01-04T22:07:22.353,3,False
7455,529,Autobiographer,2015-01-05T08:59:01.453,3,False
7457,27398,Autobiographer,2015-01-05T16:07:59.577,3,False
7459,24544,Autobiographer,2015-01-05T17:29:55.837,3,False
7460,27368,Autobiographer,2015-01-05T23:42:51.437,3,False
7464,2652,Autobiographer,2015-01-06T07:35:10.623,3,False
7465,22223,Autobiographer,2015-01-06T09:57:23.790,3,False
7466,7256,Autobiographer,2015-01-06T10:14:00.350,3,False
7471,4566,Autobiographer,2015-01-06T19:51:08.120,3,False
7472,27467,Autobiographer,2015-01-06T20:25:32.693,3,False
8477,26614,Autobiographer,2015-01-07T12:17:30.237,3,False
8478,27498,Autobiographer,2015-01-07T12:52:18.100,3,False
8479,27442,Autobiographer,2015-01-07T14:11:01.933,3,False
8480,27408,Autobiographer,2015-01-07T16:21:25.493,3,False
8481,25315,Autobiographer,2015-01-07T16:51:36.123,3,False
8483,27525,Autobiographer,2015-01-07T21:16:33.277,3,False
8485,20685,Autobiographer,2015-01-08T13:49:21.900,3,False
8489,27581,Autobiographer,2015-01-09T06:59:50.090,3,False
8494,22106,Autobiographer,2015-01-09T21:02:07.360,3,False
8497,6978,Autobiographer,2015-01-10T21:37:19.293,3,False
8499,17280,Autobiographer,2015-01-10T23:58:27.787,3,False
8501,27666,Autobiographer,2015-01-11T04:35:42.460,3,False
8507,11210,Autobiographer,2015-01-12T05:49:53.643,3,False
8511,26847,Autobiographer,2015-01-12T19:59:41.620,3,False
8514,12107,Autobiographer,2015-01-13T21:55:42.953,3,False
8516,25126,Autobiographer,2015-01-14T11:16:20.837,3,False
8520,27825,Autobiographer,2015-01-14T22:23:59.993,3,False
8521,19607,Autobiographer,2015-01-15T00:06:22.953,3,False
8522,27310,Autobiographer,2015-01-15T00:57:01.403,3,False
8526,27265,Autobiographer,2015-01-15T07:37:34.317,3,False
8528,47,Autobiographer,2015-01-15T14:41:27.397,3,False
8540,27877,Autobiographer,2015-01-16T16:55:09.873,3,False
8544,9247,Autobiographer,2015-01-16T18:34:36.037,3,False
8553,25116,Autobiographer,2015-01-17T08:50:15.003,3,False
8558,27476,Autobiographer,2015-01-17T20:07:22.190,3,False
8560,13991,Autobiographer,2015-01-18T04:04:47.793,3,False
8562,9299,Autobiographer,2015-01-18T06:11:08.240,3,False
8565,26708,Autobiographer,2015-01-18T16:20:32.383,3,False
8566,6445,Autobiographer,2015-01-18T20:13:51.947,3,False
8573,5641,Autobiographer,2015-01-19T11:23:20.457,3,False
8574,28029,Autobiographer,2015-01-19T11:23:20.457,3,False
8577,15781,Autobiographer,2015-01-19T14:44:08.073,3,False
8579,12024,Autobiographer,2015-01-19T15:49:09.260,3,False
8581,28048,Autobiographer,2015-01-19T16:25:17.030,3,False
8585,28067,Autobiographer,2015-01-20T02:35:21.973,3,False
8587,27903,Autobiographer,2015-01-20T04:25:44.407,3,False
8588,1375,Autobiographer,2015-01-20T05:45:16.407,3,False
8589,28078,Autobiographer,2015-01-20T06:44:52.820,3,False
8590,23999,Autobiographer,2015-01-20T07:53:23.493,3,False
8591,10183,Autobiographer,2015-01-20T12:29:18.103,3,False
8593,8768,Autobiographer,2015-01-20T14:26:30.557,3,False
8595,466,Autobiographer,2015-01-20T16:56:08.433,3,False
8601,19695,Autobiographer,2015-01-21T16:20:42.507,3,False
8602,14393,Autobiographer,2015-01-21T18:18:13.743,3,False
8603,28164,Autobiographer,2015-01-21T20:44:29.637,3,False
8607,27558,Autobiographer,2015-01-22T04:22:23.307,3,False
8611,12196,Autobiographer,2015-01-22T10:16:16.130,3,False
8613,23399,Autobiographer,2015-01-22T14:37:06.417,3,False
8614,28217,Autobiographer,2015-01-22T16:12:23.803,3,False
8616,15918,Autobiographer,2015-01-22T17:02:46.587,3,False
8620,23687,Autobiographer,2015-01-22T18:38:40.513,3,False
8622,17334,Autobiographer,2015-01-22T19:26:40.057,3,False
8623,28239,Autobiographer,2015-01-22T20:54:59.443,3,False
8625,15119,Autobiographer,2015-01-23T08:09:10.100,3,False
8626,15217,Autobiographer,2015-01-23T09:43:27.357,3,False
8635,24131,Autobiographer,2015-01-24T15:07:11.053,3,False
