_Id,_PostId,_VoteTypeId,_CreationDate
706,76,2,2016-12-24T00:00:00.000
740,76,2,2017-02-02T00:00:00.000
743,76,2,2017-02-09T00:00:00.000
1818,76,2,2021-07-09T00:00:00.000
326,77,2,2016-01-27T00:00:00.000
359,77,2,2016-02-02T00:00:00.000
419,77,2,2016-03-03T00:00:00.000
540,77,2,2016-06-12T00:00:00.000
646,77,2,2016-11-18T00:00:00.000
344,78,2,2016-01-29T00:00:00.000
362,78,2,2016-02-02T00:00:00.000
774,78,2,2017-06-05T00:00:00.000
329,79,2,2016-01-28T00:00:00.000
335,79,2,2016-01-29T00:00:00.000
354,79,2,2016-02-01T00:00:00.000
328,80,2,2016-01-28T00:00:00.000
358,80,2,2016-02-02T00:00:00.000
654,80,2,2016-11-21T00:00:00.000
330,81,2,2016-01-28T00:00:00.000
338,81,2,2016-01-29T00:00:00.000
345,81,2,2016-01-30T00:00:00.000
331,82,2,2016-01-28T00:00:00.000
332,82,2,2016-01-29T00:00:00.000
333,82,2,2016-01-29T00:00:00.000
334,82,1,2016-01-29T00:00:00.000
336,82,2,2016-01-29T00:00:00.000
355,82,2,2016-02-01T00:00:00.000
341,83,2,2016-01-29T00:00:00.000
343,83,2,2016-01-29T00:00:00.000
347,83,2,2016-01-30T00:00:00.000
754,83,2,2017-05-18T00:00:00.000
337,84,2,2016-01-29T00:00:00.000
339,84,2,2016-01-29T00:00:00.000
340,84,2,2016-01-29T00:00:00.000
342,84,2,2016-01-29T00:00:00.000
348,84,2,2016-01-30T00:00:00.000
391,84,2,2016-02-12T00:00:00.000
411,84,2,2016-02-15T00:00:00.000
418,84,2,2016-02-25T00:00:00.000
353,85,2,2016-02-01T00:00:00.000
349,87,2,2016-01-30T00:00:00.000
356,87,2,2016-02-01T00:00:00.000
434,87,2,2016-03-26T00:00:00.000
755,87,2,2017-05-18T00:00:00.000
565,89,3,2016-06-14T00:00:00.000
629,89,3,2016-11-18T00:00:00.000
1188,89,3,2019-01-14T00:00:00.000
379,90,3,2016-02-07T00:00:00.000
420,90,2,2016-03-03T00:00:00.000
2107,90,2,2023-07-29T00:00:00.000
370,91,2,2016-02-04T00:00:00.000
374,91,2,2016-02-04T00:00:00.000
367,93,2,2016-02-03T00:00:00.000
368,93,2,2016-02-03T00:00:00.000
373,93,2,2016-02-04T00:00:00.000
375,93,2,2016-02-04T00:00:00.000
369,94,2,2016-02-04T00:00:00.000
372,94,2,2016-02-04T00:00:00.000
383,95,2,2016-02-08T00:00:00.000
400,95,2,2016-02-15T00:00:00.000
447,95,2,2016-04-12T00:00:00.000
520,95,2,2016-06-08T00:00:00.000
386,96,2,2016-02-09T00:00:00.000
388,96,2,2016-02-09T00:00:00.000
415,96,2,2016-02-24T00:00:00.000
424,96,3,2016-03-14T00:00:00.000
444,96,3,2016-04-12T00:00:00.000
442,97,3,2016-04-12T00:00:00.000
609,97,2,2016-11-18T00:00:00.000
794,97,2,2017-08-12T00:00:00.000
443,98,2,2016-04-12T00:00:00.000
793,98,3,2017-08-12T00:00:00.000
802,98,2,2017-10-11T00:00:00.000
501,99,2,2016-05-10T00:00:00.000
1111,99,2,2018-10-09T00:00:00.000
937,100,2,2018-07-20T00:00:00.000
390,101,2,2016-02-11T00:00:00.000
393,101,2,2016-02-13T00:00:00.000
553,101,2,2016-06-12T00:00:00.000
645,101,2,2016-11-18T00:00:00.000
